variable_name,variable_type,description
country,character,Country or territory name
source,character,Data source survey type
indicator,character,Indicator description
sex,character,Sex category (Total/Male/Female)
area_type,character,Geographic area type (National/Rural/Urban)
currency_info,character,Currency information
year,numeric,Year of observation
earnings_ppp,numeric,Average monthly earnings in 2021 PPP dollars
obs_status,character,Observation status notes
note_indicator,character,Additional indicator notes
note_source,character,Data source notes
